case_id,activity,timestamp,resource,department,region,role,lifecycle
EMP-0001,Offer Accepted,2025-12-11 11:00,HR_Sarah,Human Resources,APAC,Software Engineer,complete
EMP-0001,Background Check Initiated,2025-12-11 15:59,HR_Sarah,Human Resources,APAC,Software Engineer,complete
EMP-0001,Background Check Completed,2025-12-15 12:40,Vendor_BGCheck,External Vendor,APAC,Software Engineer,complete
EMP-0001,IT Account Creation,2025-12-16 9:21,IT_Carlos,IT Department,APAC,Software Engineer,complete
EMP-0001,Equipment Provisioning,2025-12-18 8:28,Logistics_Tom,IT Department,APAC,Software Engineer,complete
EMP-0001,Equipment Provisioning,2025-12-19 8:02,Logistics_Tom,IT Department,APAC,Software Engineer,complete
EMP-0001,Compliance Training Assigned,2025-12-19 11:34,L&D_Nina,Learning & Development,APAC,Software Engineer,complete
EMP-0001,Compliance Training Completed,2025-12-22 12:50,L&D_Nina,Learning & Development,APAC,Software Engineer,complete
EMP-0001,Team Introduction Meeting,2025-12-24 9:00,Mgr_Alex,Management,APAC,Software Engineer,complete
EMP-0001,Buddy Assignment,2025-12-24 15:07,Mgr_Beth,Management,APAC,Software Engineer,complete
EMP-0001,System Access Granted,2025-12-25 9:07,IT_John,IT Security,APAC,Software Engineer,complete
EMP-0001,First Week Check-in,2025-12-30 9:17,HR_Mike,Human Resources,APAC,Software Engineer,complete
EMP-0001,30-Day Review,2026-01-19 10:56,HR_Priya,Management,APAC,Software Engineer,complete
EMP-0001,Onboarding Complete,2026-01-20 12:52,HR_Mike,Human Resources,APAC,Software Engineer,complete
EMP-0002,Offer Accepted,2025-08-26 8:00,HR_Sarah,Human Resources,EMEA,Customer Support Lead,complete
EMP-0002,Background Check Initiated,2025-08-26 9:00,HR_Priya,Human Resources,EMEA,Customer Support Lead,complete
EMP-0002,Background Check Completed,2025-08-27 15:36,Vendor_Sterling,External Vendor,EMEA,Customer Support Lead,complete
EMP-0002,IT Account Creation,2025-08-28 9:10,IT_Aisha,IT Department,EMEA,Customer Support Lead,complete
EMP-0002,Equipment Provisioning,2025-08-29 9:04,IT_John,IT Department,EMEA,Customer Support Lead,complete
EMP-0002,Compliance Training Assigned,2025-08-29 13:42,L&D_Nina,Learning & Development,EMEA,Customer Support Lead,complete
EMP-0002,Compliance Training Completed,2025-09-02 9:03,L&D_Nina,Learning & Development,EMEA,Customer Support Lead,complete
EMP-0002,Compliance Training Assigned,2025-09-02 10:14,L&D_Nina,Learning & Development,EMEA,Customer Support Lead,complete
EMP-0002,Compliance Training Completed,2025-09-05 9:41,L&D_Nina,Learning & Development,EMEA,Customer Support Lead,complete
EMP-0002,Team Introduction Meeting,2025-09-08 8:11,Mgr_Chen,Management,EMEA,Customer Support Lead,complete
EMP-0002,Buddy Assignment,2025-09-08 16:27,Mgr_Chen,Management,EMEA,Customer Support Lead,complete
EMP-0002,System Access Granted,2025-09-08 17:36,IT_John,IT Security,EMEA,Customer Support Lead,complete
EMP-0002,First Week Check-in,2025-09-15 8:23,Mgr_Beth,Human Resources,EMEA,Customer Support Lead,complete
EMP-0002,30-Day Review,2025-10-06 13:42,HR_Priya,Management,EMEA,Customer Support Lead,complete
EMP-0002,Onboarding Complete,2025-10-07 8:03,HR_Mike,Human Resources,EMEA,Customer Support Lead,complete
EMP-0003,Offer Accepted,2025-07-21 13:00,HR_Priya,Human Resources,Americas,Customer Support Lead,complete
EMP-0003,Background Check Initiated,2025-07-21 17:45,HR_Sarah,Human Resources,Americas,Customer Support Lead,complete
EMP-0003,Background Check Completed,2025-07-24 8:22,Vendor_BGCheck,External Vendor,Americas,Customer Support Lead,complete
EMP-0003,IT Account Creation,2025-07-24 15:12,IT_John,IT Department,Americas,Customer Support Lead,complete
EMP-0003,Equipment Provisioning,2025-07-25 8:21,IT_John,IT Department,Americas,Customer Support Lead,complete
EMP-0003,Compliance Training Assigned,2025-07-25 16:04,L&D_Nina,Learning & Development,Americas,Customer Support Lead,complete
EMP-0003,Compliance Training Completed,2025-07-28 15:51,L&D_Nina,Learning & Development,Americas,Customer Support Lead,complete
